_ID,TimeSt,Country,Province,City,Latitude,Longitude
4545805,01:26.7,CA,AB,Red Deer,52.3116,-113.842
4545807,01:27.2,CA,ON,Markham,43.85883,-79.29809
4545847,01:28.4,CA,ON,Stratford,43.3716,-80.9773
4545925,01:28.6,CA,ON,London,42.9334,-81.2258
4545953,01:28.8,CA,ON,London,42.9334,-81.2258
4545997,01:28.9,CA,ON,Windsor,42.3297,-82.9482
4546068,01:29.0,CA,ON,Windsor,42.3297,-82.9482
4546150,01:29.3,CA,ON,Windsor,42.2908,-82.987
4546236,01:29.7,CA,ON,Windsor,42.2908,-82.987
4546255,01:29.7,CA,ON,Brantford,43.1207,-80.2893
4546337,01:29.9,CA,ON,London,42.9832,-81.2847
4546413,01:29.7,CA,ON,Brantford,43.1207,-80.2893
4546471,01:30.0,CA,ON,Chatham,42.4247,-82.1755
4546560,01:27.1,CA,AB,Fort Mcmurray,56.72181,-111.46993
4546585,01:28.1,CA,AB,Calgary,51.0412,-114.0762
4546665,01:29.1,CA,ON,London,42.9399,-81.2709
4546723,01:29.1,CA,ON,Windsor,42.2957,-82.9599
4546751,01:27.1,CA,AB,Fort Mcmurray,56.72181,-111.46993
4546802,01:29.5,CA,ON,Woodstock,43.12886,-80.75007
4546873,01:29.6,CA,ON,Brantford,43.1772,-80.248
4546924,01:29.6,CA,AB,Calgary,51.1377,-114.149
4547001,01:29.7,CA,ON,Windsor,42.2957,-82.9599
4547034,01:29.8,CA,ON,Kitchener,43.4233,-80.5383
4547131,01:29.9,CA,ON,Stratford,43.3716,-80.9773
4547179,01:30.3,CA,ON,Guelph,43.5425,-80.2676
4547270,01:31.2,CA,ON,Kitchener,43.4453,-80.4905
4547352,01:31.8,CA,ON,Windsor,42.3297,-82.9482
4547372,01:31.2,CA,ON,Kitchener,43.4453,-80.4905
4547425,01:29.5,CA,ON,Guelph,43.5776,-80.2201
4547459,01:29.6,CA,ON,Kitchener,43.4233,-80.5383
4547529,01:30.3,CA,ON,Kitchener,43.4631,-80.4493
4547593,01:29.6,CA,ON,Kitchener,43.4233,-80.5383
4547683,01:30.9,CA,ON,Kitchener,43.4278,-80.5135
4547754,01:31.3,CA,ON,London,42.9399,-81.2709
4547828,01:32.0,CA,ON,London,42.9923,-81.2531
4547866,01:32.5,CA,ON,London,42.9611,-81.2431
4547922,01:33.3,CA,AB,Edmonton,53.54812,-113.59423
4547930,01:33.6,CA,ON,Windsor,42.2957,-82.9599
4547950,01:33.7,CA,ON,Owen Sound,44.5642,-80.9428
4548012,01:33.8,CA,ON,Owen Sound,44.5642,-80.9428
4548076,01:29.4,CA,ON,Waterloo,43.499,-80.5063
4548077,01:33.7,CA,ON,Owen Sound,44.5642,-80.9428
4548153,01:29.5,CA,AB,Calgary,50.9894,-114.052
4548199,01:29.5,CA,ON,Windsor,42.2545,-82.9809
4548252,01:29.5,CA,AB,Calgary,50.9894,-114.052
4548318,01:29.6,CA,ON,Windsor,42.3297,-82.9482
4548408,01:29.7,CA,AB,Calgary,51.0524,-114.038
4548444,01:29.7,CA,ON,London,42.9832,-81.2847
4548524,01:29.7,CA,ON,Brantford,43.1772,-80.248
4548529,01:29.7,CA,ON,Brantford,43.1772,-80.248
4548559,01:29.9,CA,ON,Sarnia,42.9711,-82.396
4548571,01:30.2,CA,ON,London,43.0061,-81.2962
4548577,01:30.7,CA,QC,Montréal,45.5047,-73.5558
4548646,01:30.7,CA,QC,Montréal,45.5047,-73.5558
4548677,01:30.2,CA,ON,London,43.0061,-81.2962
4548710,01:30.7,CA,ON,London,42.9529,-81.3239
4548765,01:31.0,CA,ON,London,43.0346,-81.2554
4548784,01:31.3,CA,ON,Guelph,43.5412,-80.2469
4548821,01:31.3,CA,ON,Kitchener,43.4134,-80.496
4548869,01:31.4,CA,ON,Waterloo,43.4634,-80.5201
4548963,01:31.4,CA,ON,Waterloo,43.4634,-80.5201
4549003,01:31.6,CA,ON,Brantford,43.14094,-80.26627
4549028,01:31.9,CA,ON,London,42.9923,-81.2531
4549058,01:31.9,CA,ON,London,42.9529,-81.3239
4549093,01:32.0,CA,ON,Guelph,43.5412,-80.2469
4549128,01:32.1,CA,ON,London,42.9611,-81.2431
4549153,01:32.3,CA,ON,London,42.9923,-81.2531
4549228,01:32.3,CA,ON,London,42.9923,-81.2531
4549253,01:32.5,CA,ON,London,43.0004,-81.2343
4549328,01:32.6,CA,ON,Sarnia,42.9711,-82.396
4549383,01:31.6,CA,ON,Brantford,43.14094,-80.26627
4549413,01:32.6,CA,QC,Saint-Constant,45.3668,-73.5659
4549465,01:33.2,CA,ON,London,42.9611,-81.2431
4549466,01:32.6,CA,ON,Sarnia,42.9711,-82.396
4549533,01:33.3,CA,ON,London,42.9611,-81.2431
